qps_target,duration_s,expected_requests,completed_requests,success_rate,achieved_qps,p50_s,p90_s,p99_s
1,5,5,5,1.0,1.1422664845600738,0.36856998299481347,0.4075292580004316,0.42624111659883057
2,5,10,10,1.0,2.152249445212895,0.14382142599788494,0.1469704071918386,0.14783681721732136
4,5,20,20,1.0,4.085347072300067,0.14302293700166047,0.14574404679005964,0.14647887565908604
8,5,40,40,1.0,7.96861149904909,0.14419998750236118,0.15928452211228433,0.16535228475302574
16,5,80,80,1.0,15.699882974404442,0.144597528000304,0.1655352462039446,0.18331017593402063
32,5,160,160,1.0,31.164467372363276,0.14388947100087535,0.18385527049540543,0.20730559655901737
64,5,320,320,1.0,62.13394119852126,0.16855498799850466,0.2354424652978196,0.27787740140847744
128,5,640,640,1.0,120.7475594304517,0.30194189949543215,0.48544930209609455,0.583760676689417
256,5,1280,1280,1.0,163.52092499400013,1.483256765997794,2.6983404020982564,2.9406035768584116
512,5,2560,2560,1.0,154.28038247278053,5.9173279169990565,7.519067170697963,7.892927724063629
1024,5,5120,5120,1.0,157.98450629221443,7.361821180995321,7.798323594396062,8.034304955901025
2048,5,10240,10240,1.0,165.20394112265848,7.110793799496605,7.669187173398678,7.990643646332465
1,5,5,5,0.0,1.200442264445596,0.18220825000025798,0.4113484874018468,0.4551754450402222
1,5,5,5,0.0,1.1724979783111689,0.27304040899616666,0.31186270900652746,0.31375406261126043
2,5,10,10,0.0,2.095347146760711,0.26650863949907944,0.32704555289965354,0.3545379078933911
4,5,20,20,0.0,4.209208774950911,0.14657098249881528,0.25438586310483513,0.2813036831925274
1,5,5,5,1.0,0.3351299099984058,12.91173384799913,14.509484909800813,14.864762754881522
2,5,10,10,1.0,2.0197893902821056,0.47389967750496,0.5994667934006429,0.6915221869495872
4,5,20,20,1.0,4.039913024469503,0.4304231885034824,0.4679901843992411,0.48328691038055693
8,5,40,40,1.0,7.67429119423356,0.42278989799524425,0.46380429738928797,0.482260504943697
16,5,80,80,1.0,14.980885052645753,0.16131168600259116,0.4518355075051659,0.5086813915809033
32,5,160,160,1.0,31.404641274664353,0.1584464690022287,0.17777216019749176,0.20541319711745018
64,5,320,320,1.0,62.61698958407553,0.17409456849418348,0.22086242390214467,0.2642546861452866
128,5,640,640,1.0,120.96577112002656,0.26177912449929863,0.3769511634949595,0.4524133571541461
256,5,1280,1280,1.0,164.9180414464035,1.4386097855021944,2.5476131919014735,3.003169452410221
512,5,2560,2560,1.0,164.67160437531078,5.72508146600012,7.107523382992076,7.475712222948787
1024,5,5120,5120,1.0,172.73114103078166,6.7345271850063,7.231656366906828,7.468782044059481
2048,5,10240,10240,1.0,175.34597259180893,6.8414028714978485,7.152933780502645,7.38445494317275
1,5,5,5,0.0,0.8440214427309064,3.9188420540012885,5.522512177593308,5.883869316749624
1,5,5,5,1.0,0.652454163496501,5.662026118996437,7.241784108398133,7.602483213636442
2,5,10,10,1.0,2.148124545865381,0.27527559250302147,0.4335316199954831,0.571531538698182
4,5,20,20,1.0,3.954942412883729,0.1587897939971299,0.3084175504991436,0.48467072324419835
8,5,40,40,1.0,7.770728331451648,0.2600820565057802,0.33165637859783603,0.43849124909160303
16,5,80,80,1.0,15.710343220737224,0.1579535329947248,0.29604213079583136,0.36206199501481023
32,5,160,160,1.0,31.316421015707604,0.1550103204936022,0.17649791660223854,0.28361809602938576
64,5,320,320,1.0,62.16560075521428,0.16764911700738594,0.20549042910133725,0.2442129845492309
128,5,640,640,1.0,121.98611476999572,0.26632168650394306,0.3984388574943296,0.5097373297938611
256,5,1280,1280,1.0,169.4362904269909,1.481137012000545,2.3452171997938422,2.6748850831099844
512,5,2560,2560,1.0,171.59125855997317,5.072753305998049,6.835136779306049,7.222735249661491
1024,5,5120,5120,1.0,178.45011118159144,6.505855900992174,7.101537876298243,7.311371294014971
2048,5,10240,10240,1.0,180.06291718995385,6.6915353654985665,7.0108766504956295,7.2564885571734346
1,5,5,5,1.0,1.200396737555231,0.16375143799814396,0.16579942900280004,0.16612460620410274
2,5,10,10,1.0,2.147163652557391,0.15835100199910812,0.16506408440618542,0.16778716994202114
4,5,20,20,1.0,4.075250180034608,0.15694077000080142,0.15936086350266124,0.16291083609728957
8,5,40,40,1.0,7.938830652490107,0.1554735925019486,0.15863025729195215,0.16157869481481613
16,5,80,80,1.0,15.864208580628416,0.1549912275004317,0.1671118469996145,0.17109517250268252
32,5,160,160,1.0,31.386326016659833,0.15471707100368803,0.18103199880133616,0.1942136393740657
64,5,320,320,1.0,62.37082530655995,0.1673023054972873,0.21596771610347787,0.2547594667217345
128,5,640,640,1.0,122.24521802671515,0.25038893700548215,0.34982580009527736,0.4886619575975058
256,5,1280,1280,1.0,175.3484730960264,1.31655569600116,2.1285965351955385,2.4374502724090417
512,5,2560,2560,1.0,176.6210424156994,4.858734146007919,6.437104163806362,6.841680447354447
1024,5,5120,5120,1.0,178.55231818630955,6.469192395998107,7.046526155999163,7.266830653082725
2048,5,10240,10240,1.0,178.69909838535028,6.797566104505677,7.158273528789868,7.387079946261365
